Type,Price,Location,Bath(s),Area,Purpose,Bedroom(s),Added,Initial Amount,Monthly Installment,Remaining Installments,Area Name
House,PKR1.43 Crore,"Bahria Town Karachi, Karachi, Sindh",4,152 Sq. Yd.,For Sale,3,36 minutes ago,,,,Bahria Town Karachi
House,PKR3.25 Crore,"Bahria Town Karachi, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,1 hour ago,,,,Bahria Town Karachi
House,PKR1.85 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 hour ago,,,,Bahria Town Karachi
Flat,PKR60 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,2 hours ago,,,,Bahria Town Karachi
House,PKR1.7 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,2 hours ago,,,,Bahria Town Karachi
Flat,PKR38.8 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,43 Sq. Yd.,For Sale,1,46 minutes ago,PKR5.43 Lakh,PKR38.8 Thousand,30 Months,Bahria Town Karachi
Flat,PKR27.84 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,35 Sq. Yd.,For Sale,2,2 hours ago,,,,Bahria Town Karachi
Flat,PKR1.67 Crore,"Bahria Town Karachi, Karachi, Sindh",3,206 Sq. Yd.,For Sale,3,3 hours ago,,,,Bahria Town Karachi
House,PKR2 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,6 hours ago,,,,Bahria Town Karachi
Flat,PKR38.8 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,43 Sq. Yd.,For Sale,1,7 hours ago,PKR5.4 Lakh,PKR39 Thousand,30 Months,Bahria Town Karachi
House,PKR1.5 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,2 hours ago,,,,Bahria Town Karachi
House,PKR1.35 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,6 hours ago,,,,Bahria Town Karachi
Flat,PKR38.8 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,43 Sq. Yd.,For Sale,1,47 minutes ago,PKR5.43 Lakh,PKR38.8 Thousand,30 Months,Bahria Town Karachi
Flat,PKR30 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,33 Sq. Yd.,For Sale,-,47 minutes ago,PKR4.2 Lakh,PKR30 Thousand,30 Months,Bahria Town Karachi
House,PKR2.25 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,2 hours ago,,,,Bahria Town Karachi
House,PKR2.17 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,2 hours ago,,,,Bahria Town Karachi
House,PKR1.4 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,2 hours ago,,,,Bahria Town Karachi
Flat,PKR1.02 Crore,"Bahria Town Karachi, Karachi, Sindh",2,103 Sq. Yd.,For Sale,2,1 hour ago,,,,Bahria Town Karachi
Flat,PKR80 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,1 hour ago,,,,Bahria Town Karachi
House,PKR1.85 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,2 hours ago,,,,Bahria Town Karachi
House,PKR2.14 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,2 hours ago,,,,Bahria Town Karachi
House,PKR1.54 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,2 hours ago,,,,Bahria Town Karachi
House,PKR1.9 Crore,"Bahria Town Karachi, Karachi, Sindh",5,350 Sq. Yd.,For Sale,4,2 hours ago,,,,Bahria Town Karachi
Flat,PKR80 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,2 hours ago,,,,Bahria Town Karachi
House,PKR1.48 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,2 hours ago,,,,Bahria Town Karachi
House,PKR26 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,5,39 minutes ago,,,,DHA Defence
